RequestKey;LookupType;Query;Status;Ico;CompanyName;LegalForm;LegalFormCode;City;Address;IsActive;Candidates;Error;ResolvedUtc;Occurrences;SampleSubject;SampleFolder
damida system s r o;Name;DAMIDA SYSTEM s.r.o.;Pending;;;;;;;;;;;1;DAMIDA SYSTEM s.r.o., ID 2080682840;29045991 DAMIDA SYSTEM s.r.o
a s;Name;a.s.;Pending;;;;;;;;;;;10636;Re: závazek pro klienta - PENB;a.s
spolecenstvi vlastniku v dome cp 125 v uhreticich 25956183;Name;Společenství vlastníků v domě čp. 125 v Úhřeticích 25956183;Pending;;;;;;;;;;;3;Fw: Společenství vlastníků v domě čp. 125 v Úhřeticích 25956183;25956183 Společenství vlastníků v domě čp. 125 v Úhřeticích
spol s r o;Name;spol. s r.o.;Pending;;;;;;;;;;;313;Fw: M I Š Š K O, spol. s r.o. IČO 14864118;14864118 JUKGRUP s.r.o
docks kolin s r o;Name;DOCKS Kolín s.r.o.;Pending;;;;;;;;;;;4;FW: BKS - DOCKS Kolín s. r. o. ;22008471 DOCKS Kolín s.r.o
party s r o;Name;PARTY s.r.o.;Pending;;;;;;;;;;;2;Re: výsledek schvalování COCTAIL & PARTY s.r.o., IČ/RČ: 25847015,;25847015 COCTAIL & PARTY s.r.o
s r o;Name;s.r.o.;Pending;;;;;;;;;;;2213;REZIDENCE OBŘANSKÁ, s.r.o. - Návrh smlouvy o budoucí kupní smlouvě;s.r.o
broumovske lekarny s r o;Name;Broumovské lékárny s.r.o.;Pending;;;;;;;;;;;3;Broumovská lékárna prověření platnosti koupě;48173924 Medical lékárna, s.r.o. v likvidaci
genus s r o;Name;GENUS s.r.o.;Pending;;;;;;;;;;;3;Re: Dokument: Souhrnné informace k úvěru, které jsou pro Vás důležité - formulace textace;48394653 GENUS, spol. s r.o
vas interier s r o;Name;Váš interiér s.r.o.;Pending;;;;;;;;;;;8;FW: Oprava chybně nastaveného limitu KTK (...Váš interiér s.r.o.);28474821 Kalda campers s.r.o
drexiss s r o;Name;Drexiss s.r.o.;Pending;;;;;;;;;;;3;Drexiss s.r.o. IČ:05522536 Kom. HYPO výstavba ;05522536 Drexiss s.r.o
svj vetrna 2 4 6;Name;SVJ Větrná 2- 4-6;Pending;;;;;;;;;;;4;Fw: Konzultace - postup - SVJ Větrná 2- 4-6;28142501 Společenství vlastníků Větrná 2-4-6 České Budějovice
modry dum benesov s r o;Name;Modrý dům Benešov s.r.o.;Pending;;;;;;;;;;;9;Fw: posouzení SoD - Modrý dům Benešov s.r.o.  IČ: 27175774;27175774 Modrý dům Benešov s.r.o
trion ii s r o;Name;TRION II s.r.o.;Pending;;;;;;;;;;;5;TRION II s.r.o., IČ 19602332 ID 2067172858 - konzultace obchodního případu;19602332 VILADOMY HŮRY s.r.o
